# DeltaF, Fb, t0, u0, tE, rho, Pb, mu_b, sig_b
0.74674 0.226205 7884.15 0.277519 33.9669 0.0145108 0.521107 0.211073 0.100965
0.758789 0.226252 7884.19 0.262482 34.6332 0.00888049 0.528015 0.213693 0.102773
0.757543 0.228468 7884.05 0.273088 33.7249 0.0459887 0.524914 0.209469 0.10002
0.761493 0.228918 7884.21 0.25795 34.661 0.00062604 0.528789 0.208046 0.101958
0.747085 0.226315 7884.18 0.281107 33.8496 0.00341323 0.524711 0.21441 0.103559
0.750638 0.226487 7884.12 0.292632 32.754 0.0506037 0.51872 0.212618 0.103261
0.732897 0.228576 7884.14 0.297455 32.9049 0.0492036 0.524822 0.212087 0.101493
0.759742 0.230144 7884.24 0.264078 33.9587 0.0422994 0.516193 0.209794 0.101351
0.751455 0.228127 7884.11 0.271988 34.1539 0.0429651 0.52419 0.210563 0.10252
0.758053 0.226251 7884.14 0.269325 34.7499 0.0444967 0.52063 0.210469 0.101743
0.759367 0.227174 7884.21 0.272827 33.6526 0.0439681 0.524249 0.209849 0.101891
0.746754 0.229874 7884.17 0.255097 35.9579 0.000804255 0.512002 0.207306 0.100118
0.615819 0.244798 7868.49 0.625261 42.8798 0.00225855 0.212419 0.206264 0.079836
0.740871 0.224072 7869.63 0.510718 38.9496 0.0170761 0.484537 0.204032 0.0818891
0.557611 0.231468 7869.15 1.22031 36.5359 0.000259141 0.63608 0.152772 0.108262
0.763048 0.229891 7884.29 0.235352 36.9981 0.0362104 0.523611 0.207906 0.0995976
0.762129 0.225545 7884.26 0.261569 34.5161 0.00185347 0.50854 0.21314 0.100862
0.747378 0.229424 7884.14 0.271315 34.454 0.0454319 0.522336 0.209425 0.101389
0.746021 0.228113 7884.15 0.270864 34.4271 0.0438307 0.522392 0.210435 0.101131
0.72654 0.227242 7883.83 0.328557 31.0608 0.00174308 0.528506 0.212164 0.0993113
0.767437 0.231502 7884.36 0.215735 38.5232 0.00337061 0.560146 0.203787 0.0984837
0.72703 0.226111 7883.82 0.276428 36.7488 0.00101536 0.540552 0.213814 0.10293
0.772717 0.231444 7884.14 0.2133 38.916 0.0062081 0.515931 0.208697 0.0977648
0.728876 0.22856 7884.28 0.383352 27.1732 0.0142535 0.539071 0.209437 0.104248
0.521819 0.206818 7883.56 0.638857 32.2611 0.00373398 0.647139 0.212569 0.119225
0.741093 0.229879 7884.07 0.276723 34.0407 0.0222119 0.512757 0.20966 0.1006
0.744994 0.230461 7884.09 0.271793 34.4644 0.0431719 0.506174 0.209546 0.10016
0.749125 0.22846 7884.15 0.279633 33.6017 0.0461558 0.517494 0.21079 0.101694
0.755953 0.23 7884.15 0.258511 35.0166 0.0434183 0.510965 0.209097 0.100754
0.755541 0.228323 7884.13 0.269876 34.2246 0.0459145 0.525622 0.210325 0.101748
0.746645 0.228335 7884.1 0.274403 34.3925 0.0454845 0.518999 0.210108 0.100816
0.755122 0.227932 7884.15 0.265355 34.5939 0.0445322 0.521786 0.210188 0.101974
