#  DeltaF, Fb, t0, u0, tE, rho
# 
9.367790000000000283e-01 2.085279999999999911e-01 7.886420000000000073e+03 9.770440000000000236e-01 9.116450000000000387e+00 9.590670000000000792e-03
8.890179999999999749e-01 2.231720000000000093e-01 7.886170000000000073e+03 1.484480000000000022e+00 6.894849999999999923e+00 2.904920000000000072e-02
9.221390000000000420e-01 2.115769999999999873e-01 7.886079999999999927e+03 1.499759999999999982e+00 6.607599999999999696e+00 6.678540000000000171e-03
9.445750000000000535e-01 2.168740000000000112e-01 7.886380000000000109e+03 1.190039999999999987e+00 7.570969999999999978e+00 9.781549999999999967e-03
9.297849999999999726e-01 2.143359999999999987e-01 7.885579999999999927e+03 1.052990000000000093e+00 8.080249999999999488e+00 3.403230000000000144e-02
9.754460000000000353e-01 2.159429999999999961e-01 7.886180000000000291e+03 1.228210000000000024e+00 7.000799999999999912e+00 8.499449999999999540e-04
9.357539999999999747e-01 2.114409999999999901e-01 7.886140000000000327e+03 1.114649999999999919e+00 8.122859999999999303e+00 4.624210000000000126e-03
9.580020000000000202e-01 2.180880000000000041e-01 7.885729999999999563e+03 9.773129999999999873e-01 8.403689999999999216e+00 2.424840000000000155e-03
8.716730000000000311e-01 2.178100000000000036e-01 7.886159999999999854e+03 1.356579999999999897e+00 7.434300000000000352e+00 9.271230000000000096e-03
9.931539999999999813e-01 2.178160000000000096e-01 7.886369999999999891e+03 6.835989999999999567e-01 1.080480000000000018e+01 1.299259999999999998e-02
9.673650000000000304e-01 2.031759999999999955e-01 7.886109999999999673e+03 1.443850000000000078e+00 6.506730000000000125e+00 1.964849999999999930e-02
8.637880000000000003e-01 2.194659999999999944e-01 7.885520000000000437e+03 7.996820000000000039e-01 1.053270000000000017e+01 1.002450000000000042e-02
8.851290000000000546e-01 2.148440000000000072e-01 7.887000000000000000e+03 1.180169999999999941e+00 7.708580000000000432e+00 1.657859999999999933e-03
8.999519999999999742e-01 2.175179999999999891e-01 7.885510000000000218e+03 1.254620000000000068e+00 7.071209999999999773e+00 9.693069999999999811e-03
8.688160000000000327e-01 2.059549999999999992e-01 7.885500000000000000e+03 9.357400000000000162e-01 9.898199999999999221e+00 9.228380000000000437e-04
9.693009999999999682e-01 2.200469999999999926e-01 7.886239999999999782e+03 1.329050000000000065e+00 6.988949999999999996e+00 4.490430000000000116e-02
9.215189999999999770e-01 2.164459999999999995e-01 7.885579999999999927e+03 1.488569999999999949e+00 6.728200000000000180e+00 1.278840000000000055e-03
9.860090000000000243e-01 2.138079999999999981e-01 7.885739999999999782e+03 1.458139999999999992e+00 6.556490000000000151e+00 2.287199999999999997e-02
9.411479999999999846e-01 2.125759999999999872e-01 7.885180000000000291e+03 1.415759999999999907e+00 6.288569999999999993e+00 1.151480000000000038e-02
8.458930000000000060e-01 2.159310000000000118e-01 7.886090000000000146e+03 1.244510000000000005e+00 8.297959999999999781e+00 2.523200000000000096e-02
