# DeltaF, Fb, t0, u0, tE, rho
0.45015 0.201871 7893.49 0.86885 12.8989 0.00176827
0.0508585 0.245528 7880.89 1.05543 42.6748 0.000182826
0.451781 0.214003 7892.89 1.49803 10.6456 0.0681376
0.515706 0.22563 7891.29 1.44456 8.90176 0.00318721
0.450692 0.214036 7892.88 1.49805 10.5919 0.00805571
0.452502 0.214271 7892.82 1.49898 10.5605 0.0138837
0.23581 0.187762 7905.83 0.141484 58.3169 0.00512162
0.458919 0.215224 7892.7 1.47459 10.3891 0.00708426
0.379696 0.214949 7896.29 0.491666 20.7275 0.00263258
0.443561 0.209678 7894.15 0.995228 14.9148 0.0225462
0.452288 0.214187 7892.83 1.5 10.5675 0.00355046
0.451934 0.214343 7892.85 1.49992 10.5923 0.00303081
0.450926 0.214386 7892.93 1.20273 12.1251 0.0159914
0.454797 0.214438 7892.74 1.49892 10.5505 0.00812154
0.452104 0.214175 7892.85 1.49984 10.5568 0.000959709
0.455474 0.214157 7892.78 1.49583 10.512 0.00596032
0.452258 0.214048 7892.86 1.49954 10.5878 0.000709669
0.884833 0.218922 7885.66 1.18655 8.00621 0.0133732
0.450931 0.214607 7892.81 1.49772 10.6524 0.000677743
0.453706 0.214704 7892.55 1.48826 10.7051 0.00125569
0.413507 0.218889 7893.66 0.929783 14.8231 0.00204381
0.442485 0.214476 7892.79 1.48492 10.6467 0.0136331
0.452872 0.214181 7892.81 1.5 10.5642 0.00252122
0.533262 0.215084 7889.49 1.41758 9.67527 0.00347867
0.16301 0.159007 7098.93 1.00577 318.76 0.0148404
0.452445 0.213918 7892.73 1.48839 10.6065 0.0181185
0.45063 0.213972 7892.85 1.49767 10.6214 0.000487559
0.456298 0.21525 7892.58 1.44487 10.7403 0.00827661
0.457962 0.216766 7892.82 1.40114 11.2041 0.00867794
0.452395 0.214284 7892.82 1.49999 10.5665 0.0376433
0.457452 0.215414 7892.92 1.37646 11.1214 0.00776678
0.393069 0.077671 7950.8 0.410138 287.816 0.0168255
0.455764 0.214843 7892.72 1.49125 10.517 0.00666036
0.451874 0.214502 7892.8 1.49954 10.611 0.00497461
0.452633 0.214263 7892.83 1.49973 10.5658 0.0196762
0.45246 0.21427 7892.83 1.49986 10.5678 0.00833377
0.451268 0.21429 7892.83 1.49986 10.5619 0.0109089
0.453537 0.214339 7892.77 1.49993 10.5278 0.00663836
0.452065 0.214563 7892.83 1.49615 10.524 0.000830142
0.513567 0.21402 7892.28 1.35471 10.6471 0.00069968
0.439657 0.214167 7893.07 1.36084 11.5727 0.00011367
0.66816 0.209083 7880.07 0.16376 50.7713 0.00122392
0.451907 0.214269 7892.81 1.49751 10.5883 0.0107865
0.476546 0.218097 7893.16 0.772378 15.1744 0.0115302
0.455718 0.215083 7892.78 1.47696 10.7083 0.00112864
0.0437488 0.219651 7190.26 0.392436 315.338 0.00532523
0.451914 0.214158 7892.84 1.49979 10.5518 0.0022338
0.451494 0.213334 7893.05 1.41404 10.9104 0.008213
0.459236 0.214612 7892.6 1.48544 10.6358 0.00101371
0.452937 0.214287 7892.81 1.49997 10.5571 6.78524e-05
0.448524 0.212743 7892.92 1.44948 10.8752 0.00509159
0.96019 0.22043 7886.36 0.767734 10.8914 0.00147356
0.102966 0.232054 7099.95 0.174423 70.0203 0.00827186
0.452399 0.214178 7892.83 1.49999 10.5773 0.00708615
0.92648 0.219481 7885.88 0.571984 12.9513 0.000261072
0.513943 0.208503 7892.38 1.37456 10.3434 0.0215648
0.451528 0.215339 7893.18 1.47616 10.2825 0.0104577
0.455534 0.214583 7892.66 1.49611 10.5466 9.78633e-06
0.00768526 0.213118 7300.02 1.20645 245.533 0.011099
0.038213 0.219453 7340.07 1.00968 297.078 0.00305652
0.450081 0.213299 7892.58 1.45211 10.9407 0.0105294
0.456515 0.21486 7892.8 1.48203 10.6164 0.00159986
0.452087 0.214248 7892.83 1.49991 10.5702 0.000423858
0.452327 0.214495 7892.79 1.49915 10.5456 0.00131128
0.452904 0.214249 7892.81 1.49997 10.557 0.00155229
0.455293 0.213964 7892.69 1.45585 10.8295 0.0019585
0.451637 0.21435 7892.84 1.49895 10.5723 0.00102867
0.723926 0.204712 7358.21 0.135947 82.6143 0.0467176
0.452272 0.214156 7892.81 1.49935 10.5664 0.0151322
0.056997 0.258555 7455.49 0.853676 162.613 0.00726374
0.452515 0.213963 7892.81 1.49965 10.5609 0.00643106
0.450669 0.214335 7892.84 1.49713 10.6007 0.00274011
0.452968 0.214231 7892.82 1.49996 10.5552 0.0313816
0.452414 0.214208 7892.82 1.49997 10.5661 0.000718971
0.452581 0.214266 7892.81 1.4999 10.5628 0.00812718
0.470999 0.214109 7892.69 1.3572 10.795 0.00288185
0.521908 0.158369 7770.41 0.0874638 309.968 0.00321895
0.404738 0.210175 7893.53 1.38363 11.513 0.00384983
0.44076 0.21421 7892.93 1.34764 11.4081 0.0229358
0.450509 0.214088 7892.86 1.49632 10.6412 0.000722453
0.440419 0.212913 7893.66 1.23662 12.1966 0.00706144
0.453476 0.214225 7892.79 1.49646 10.5675 0.0133573
0.453348 0.214069 7892.87 1.4953 10.5489 0.0089918
0.451361 0.214322 7892.86 1.49951 10.5619 0.0345344
0.408698 0.24283 7880.26 0.0189549 200.267 0.011587
0.42618 0.197458 7890.74 0.144636 75.5762 0.000979681
0.996809 0.218363 7885.39 1.11799 7.53592 0.00146728
0.452117 0.214222 7892.83 1.49977 10.574 0.00672591
