#  DeltaF, Fb, t0, u0, tE, rho
# 
9.099099999999999966e-01 2.327400000000000024e-01 7.885880000000000109e+03 1.272739999999999982e+00 6.807579999999999742e+00 5.594120000000000169e-04
3.804379999999999984e-01 2.152930000000000121e-01 7.894949999999999818e+03 9.409520000000000106e-01 1.751719999999999899e+01 1.012599999999999958e-02
9.220869999999999900e-01 2.286219999999999919e-01 7.885670000000000073e+03 1.415910000000000002e+00 6.740680000000000227e+00 1.837850000000000030e-03
9.025490000000000457e-01 2.219949999999999979e-01 7.886350000000000364e+03 8.234270000000000200e-01 9.297010000000000218e+00 1.598589999999999994e-03
4.490720000000000267e-01 2.207369999999999888e-01 7.888199999999999818e+03 9.667449999999999655e-01 1.353880000000000017e+01 9.356549999999999720e-04
5.132619999999999960e-01 2.108019999999999894e-01 7.890989999999999782e+03 1.455559999999999965e+00 1.141409999999999947e+01 1.845200000000000019e-04
4.784329999999999972e-01 2.103140000000000009e-01 7.892510000000000218e+03 1.241100000000000092e+00 1.189000000000000057e+01 2.791440000000000067e-03
2.892629999999999924e-01 2.109219999999999984e-01 7.895050000000000182e+03 8.118429999999999813e-01 2.240530000000000044e+01 1.896629999999999844e-02
4.567689999999999806e-01 2.123079999999999967e-01 7.893289999999999964e+03 8.238959999999999617e-01 1.545759999999999934e+01 3.695169999999999792e-03
8.864340000000000552e-01 2.161550000000000138e-01 7.886470000000000255e+03 1.197340000000000071e+00 8.542759999999999465e+00 3.878149999999999913e-03
4.082109999999999905e-01 2.183170000000000111e-01 7.892979999999999563e+03 5.447819999999999885e-01 2.149170000000000158e+01 2.709340000000000186e-04
4.654510000000000036e-01 2.200860000000000039e-01 7.892250000000000000e+03 1.072060000000000013e+00 1.511730000000000018e+01 1.236579999999999971e-02
9.823560000000000070e-01 2.213179999999999870e-01 7.885100000000000364e+03 9.100909999999999833e-01 8.456849999999999312e+00 1.145649999999999967e-02
4.523440000000000238e-01 2.070470000000000088e-01 7.892800000000000182e+03 7.998490000000000322e-01 1.615309999999999846e+01 7.064149999999999943e-03
5.440970000000000528e-01 2.068029999999999868e-01 7.891079999999999927e+03 9.492080000000000517e-01 1.342800000000000082e+01 1.982020000000000136e-03
4.331349999999999922e-01 2.183819999999999928e-01 7.892390000000000327e+03 1.204839999999999911e+00 1.060369999999999990e+01 3.827440000000000204e-04
6.350949999999999651e-01 1.988280000000000047e-01 7.888909999999999854e+03 2.702680000000000082e-01 2.906520000000000081e+01 4.227830000000000130e-03
8.799010000000000442e-01 2.151889999999999914e-01 7.885960000000000036e+03 7.336460000000000203e-01 1.105840000000000067e+01 2.735660000000000001e-03
4.173729999999999940e-01 2.141329999999999900e-01 7.892630000000000109e+03 1.060340000000000060e+00 1.393609999999999971e+01 7.379339999999999858e-03
